PHOTOID, LATITUDE, LONGITUDE, DATETIME
36887984214, 65.021988, 25.470377, 2017:10:09 16:32:09
37561032382, 65.016288, 25.437741, 2017:10:09 13:52:24
37591932441, 65.022363, 25.461997, 2017:10:09 14:10:47
36859138604, 65.015033, 25.470055, 2017:10:08 14:09:45
37537318182, 65.015055, 25.469955, 2017:10:08 14:10:00
37310568560, 65.022013, 25.472569, 2017:10:08 13:28:57
37310518140, 65.013525, 25.462291, 2017:10:08 13:59:19
37537192582, 65.022527, 25.470052, 2017:10:08 13:26:00
37520866886, 65.022227, 25.470052, 2017:10:08 13:24:41
23701563278, 65.021680, 25.470458, 2017:10:07 18:05:25
23701463108, 65.021824, 25.470444, 2017:10:07 18:07:54
37505439036, 65.021900, 25.470552, 2017:10:07 18:11:29
36882373553, 65.021733, 25.470452, 2017:10:07 18:05:58
37471555016, 65.011488, 25.483672, 2017:10:04 04:42:35
36809415834, 65.009827, 25.482891, 2017:10:04 04:41:05
23625940628, 65.014536, 25.464724, None
37377452116, 65.021991, 25.470377, 2017:10:01 10:34:42
36702302324, 65.011022, 25.483902, 2017:09:29 21:14:44
36702081804, 65.022036, 25.470550, 2017:09:30 18:41:35
37347073936, 65.023030, 25.468883, None
37308754886, 65.022086, 25.470177, 2017:09:27 20:35:13
37326062792, 65.022138, 25.470080, 2017:09:27 20:36:03
37079589390, 65.021847, 25.470586, 2017:09:25 19:34:07
37072534960, 65.012797, 25.466936, None
37056704210, 65.021877, 25.470513, 2017:09:25 19:34:49
36602933984, 65.021866, 25.470538, 2017:09:25 19:35:41
37450917555, 65.021936, 25.470658, 2017:09:23 19:26:38
37278602482, 65.021936, 25.470658, 2017:09:23 19:29:45
37447471525, 65.012155, 25.465514, 2017:09:24 07:46:53
37447451465, 65.010927, 25.471415, 2017:09:23 18:19:46
37257560466, 65.014197, 25.471233, 2017:09:22 16:06:31
37304637901, 65.014197, 25.471233, 2017:09:22 16:03:49
37048657240, 65.014055, 25.458862, 2017:09:22 15:36:36
37447272275, 65.013710, 25.463433, 2017:09:22 15:31:35
37257453796, 65.013882, 25.465857, 2017:09:22 15:28:53
36595003664, 65.014907, 25.464291, 2017:09:22 15:13:26
37275058552, 65.021848, 25.482498, 2017:09:22 14:44:29
36634741223, 65.021658, 25.482680, 2017:09:22 14:43:47
36594961344, 65.017227, 25.472702, 2017:09:22 14:28:32
37257374546, 65.014347, 25.475503, 2017:09:22 14:16:59
37257296966, 65.014469, 25.475052, 2017:09:22 13:51:12
37447099575, 65.015373, 25.469548, 2017:09:22 13:43:40
37010323980, 65.021786, 25.470350, 2017:09:23 18:40:06
37218385636, 65.021852, 25.470508, 2017:09:23 18:08:43
37218205926, 65.021844, 25.470538, 2017:09:23 18:08:12
36864647280, 65.011775, 25.478045, None
36813241346, 65.021736, 25.470530, 2017:09:03 14:49:19
36860808591, 65.022913, 25.456919, 2017:09:03 14:11:43
36165399234, 65.022769, 25.457255, 2017:09:03 14:10:36
36813014206, 65.022525, 25.461597, 2017:09:03 14:01:25
36800913035, 65.021744, 25.470616, 2017:08:25 21:30:40
36457262611, 65.022130, 25.470886, None
35784644283, 65.018261, 25.466150, 2017:08:15 20:55:00
36370093401, 65.021930, 25.470519, 2017:08:11 22:33:22
35973424160, 65.013991, 25.466115, None
35911715880, 65.012409, 25.472992, None
35471055964, 65.012513, 25.467606, None
34940037754, 65.022152, 25.465602, 2017:07:07 19:52:51
35272845022, 65.011263, 25.481008, None
35171719221, 65.014708, 25.463358, None
34815351580, 65.027797, 25.447833, None
34539820110, 65.021913, 25.470522, None
34524316660, 65.015436, 25.463240, 2017:05:26 12:58:13
34911302285, 65.015436, 25.463240, 2017:05:26 13:09:18
36888718644, 65.022280, 25.462169, 2017:10:09 14:12:56
37559676532, 65.021991, 25.470377, 2017:10:09 09:16:13
37261221430, 64.984313, 25.459494, 2017:10:04 05:02:11
37488565372, 64.984313, 25.459494, 2017:10:04 05:02:05
23599803908, 65.015619, 25.436972, 2017:10:02 15:30:51
37048837880, 65.013411, 25.464463, 2017:09:24 07:39:57
37447448585, 65.014197, 25.471233, 2017:09:23 17:53:20
37447448155, 65.014197, 25.471233, 2017:09:23 17:52:57
37275015032, 65.015040, 25.473067, 2017:09:22 14:21:03
37275014282, 65.014723, 25.474205, 2017:09:22 14:22:28
37001080445, 65.022969, 25.455916, 2017:09:03 14:14:24
36641019711, 64.993583, 25.457430, None
36641018921, 64.993622, 25.457400, None
36610181472, 64.993600, 25.457416, None
36732852886, 64.993569, 25.457283, None
36732850566, 64.993575, 25.457333, None
36732845336, 64.993561, 25.457361, None
36382944830, 64.993538, 25.457380, None
36382942070, 64.993302, 25.457180, None
36382937380, 64.993622, 25.457408, None
36382936000, 64.993569, 25.457419, None
35945422494, 64.993447, 25.457491, None
35945421654, 64.993569, 25.457569, None
36382924530, 64.993111, 25.456811, None
36779240105, 64.993569, 25.457241, None
35951751193, 65.015950, 25.437325, 2017:08:23 19:45:34
36364111600, 65.015952, 25.437330, 2017:08:23 19:46:14
36274577000, 65.028142, 25.439915, None
35717007053, 65.022094, 25.471263, 2017:08:12 21:22:25
36506529025, 65.021880, 25.470566, 2017:08:11 22:08:19
35697799223, 65.021880, 25.470566, 2017:08:11 22:08:36
36369186381, 65.021874, 25.470574, 2017:08:11 22:08:01
