termPHOTOID, LATITUDE, LONGITUDE, DATETIME
37013684602, 60.390112, 25.650157, None
37013681472, 60.390112, 25.650157, None
36348715474, 60.406965, 22.112045, 2017:06:05 22:19:09
36347391484, 62.931202, 22.041374, 2017:08:15 15:13:03
37040485841, 60.139394, 24.989719, 2017:09:06 19:10:00
36785042970, 60.142850, 24.981763, 2017:09:06 19:35:01
37010804012, 60.147722, 24.987730, 2017:09:06 20:06:33
36368404583, 59.828680, 22.928831, 2017:09:12 10:58:31
36992366646, 67.695865, 24.144086, None
36783283440, 59.863884, 23.395660, None
36783071350, 61.443055, 23.711388, 2017:09:11 14:55:57
37180661745, 61.440177, 23.718480, 2017:09:11 15:23:36
37038527881, 63.559656, 27.185003, 2017:09:11 18:22:55
32260250446, 60.184061, 25.154736, 2017:01:06 09:49:46
31007633630, 64.819566, 27.876047, 2012:07:03 17:56:50
36782886030, 60.866359, 26.626149, None
37180206635, 60.233453, 25.161985, 2004:09:12 11:47:04
37179171565, 63.084774, 27.529506, None
36989436036, 61.876856, 29.915803, 2017:09:11 17:17:48
37035710141, 60.156481, 24.921734, 2017:08:30 15:29:08
36986933276, 60.170520, 24.943063, 2017:08:30 14:33:15
36986748836, 60.168673, 24.935081, 2017:08:30 14:43:36
36985660016, 62.617659, 29.562406, None
37002099022, 60.256247, 24.914291, 2017:09:11 12:58:53
37173890995, 60.232150, 24.871522, 2017:09:11 11:28:16
36776222650, 64.629458, 24.693059, None
36983959136, 62.654239, 29.589378, None
37173170245, 62.249222, 25.733669, 2017:09:09 12:45:51
37173169355, 62.249252, 25.733747, 2017:09:09 12:46:07
36336455034, 62.249194, 25.733675, 2017:09:09 12:46:12
36336453094, 62.249186, 25.733877, 2017:09:09 12:47:21
36358902413, 62.249183, 25.733486, 2017:09:09 12:47:52
36336450824, 62.249183, 25.733486, 2017:09:09 12:47:53
36358900273, 62.249183, 25.733486, 2017:09:09 12:47:53
36358898633, 62.249183, 25.733486, 2017:09:09 12:47:55
36358896963, 62.249183, 25.733486, 2017:09:09 12:47:55
36336443264, 62.249238, 25.733530, 2017:09:09 12:49:15
37173156855, 62.249238, 25.733530, 2017:09:09 12:49:15
36336439644, 62.249238, 25.733530, 2017:09:09 12:49:16
36336438724, 62.249244, 25.733644, 2017:09:09 12:50:23
36983461956, 62.249280, 25.733727, 2017:09:09 12:50:39
36983460916, 62.249280, 25.733727, 2017:09:09 12:50:40
36358886873, 62.249280, 25.733727, 2017:09:09 12:50:42
36983458656, 62.249280, 25.733727, 2017:09:09 12:50:42
36358885593, 62.249280, 25.733727, 2017:09:09 12:50:47
36358884173, 62.249280, 25.733727, 2017:09:09 12:50:47
36983453426, 62.249194, 25.733702, 2017:09:09 12:54:04
36358880493, 62.249194, 25.733702, 2017:09:09 12:54:07
36358879583, 62.249194, 25.733702, 2017:09:09 12:54:08
36358878653, 62.249194, 25.733702, 2017:09:09 12:54:09
36358878063, 62.249194, 25.733702, 2017:09:09 12:54:15
37173145335, 62.249172, 25.733702, 2017:09:09 12:54:19
36983448046, 62.249172, 25.733702, 2017:09:09 12:54:22
36358875493, 62.249172, 25.733702, 2017:09:09 12:54:22
37173143525, 62.249172, 25.733702, 2017:09:09 12:54:22
36358874593, 62.249172, 25.733702, 2017:09:09 12:54:24
36775491900, 62.249197, 25.733555, 2017:09:09 12:55:26
37173140675, 62.249183, 25.733758, 2017:09:09 12:56:39
36358872093, 62.249183, 25.733758, 2017:09:09 12:56:46
37173139205, 62.249183, 25.733758, 2017:09:09 12:56:46
36358870843, 62.249183, 25.733758, 2017:09:09 12:56:47
37173137995, 62.249183, 25.733758, 2017:09:09 12:56:47
36983441226, 62.249230, 25.733805, 2017:09:09 12:57:39
37001338232, 62.249230, 25.733805, 2017:09:09 12:57:40
36775484370, 62.249230, 25.733805, 2017:09:09 12:57:40
36775482790, 62.249230, 25.733805, 2017:09:09 12:57:44
37001334302, 62.249230, 25.733805, 2017:09:09 12:57:46
36775480930, 62.249147, 25.733855, 2017:09:09 12:57:49
37001331852, 62.249147, 25.733855, 2017:09:09 12:57:49
36358859493, 62.249147, 25.733855, 2017:09:09 12:57:54
37001329342, 62.249147, 25.733855, 2017:09:09 12:57:58
36358855263, 62.249147, 25.733855, 2017:09:09 12:57:58
36358854343, 62.249147, 25.733855, 2017:09:09 12:57:58
36336413554, 62.249238, 25.733697, 2017:09:09 13:01:11
36983431656, 62.249247, 25.733761, 2017:09:09 13:01:57
36336411854, 62.249247, 25.733761, 2017:09:09 13:01:58
36775468450, 62.249247, 25.733761, 2017:09:09 13:01:59
36336410284, 62.249247, 25.733761, 2017:09:09 13:02:02
36336409814, 62.249247, 25.733761, 2017:09:09 13:02:03
36336409324, 62.249247, 25.733616, 2017:09:09 13:03:28
36336408344, 62.249247, 25.733616, 2017:09:09 13:03:28
36358836363, 62.249291, 25.733675, 2017:09:09 13:03:35
36983423276, 62.249236, 25.733747, 2017:09:09 13:04:04
37001314612, 62.249236, 25.733747, 2017:09:09 13:04:05
37030943601, 61.864681, 28.890468, None
36336406144, 62.249236, 25.733747, 2017:09:09 13:04:10
36358826223, 62.249236, 25.733747, 2017:09:09 13:04:10
36358824303, 62.249236, 25.733747, 2017:09:09 13:04:11
36983419346, 62.249236, 25.733747, 2017:09:09 13:04:14
36336403474, 62.249236, 25.733747, 2017:09:09 13:04:16
36336402724, 62.249177, 25.733675, 2017:09:09 13:05:25
36336402294, 62.249177, 25.733675, 2017:09:09 13:05:29
36358815243, 62.249177, 25.733675, 2017:09:09 13:05:30
36358813113, 62.249177, 25.733675, 2017:09:09 13:05:56
36336400694, 62.249030, 25.733494, 2017:09:09 13:06:29
36336400234, 62.249030, 25.733494, 2017:09:09 13:06:32
36336399874, 62.249030, 25.733494, 2017:09:09 13:06:33
36336399484, 62.249055, 25.733244, 2017:09:09 13:07:24
36336398784, 62.249055, 25.733244, 2017:09:09 13:07:25
37173100025, 62.249063, 25.733394, 2017:09:09 13:07:30
37173098435, 62.249063, 25.733394, 2017:09:09 13:07:37
36775451540, 62.249077, 25.733352, 2017:09:09 13:10:39
36358799133, 62.248975, 25.733322, 2017:09:09 13:11:01
36775447660, 62.248975, 25.733322, 2017:09:09 13:11:01
37030933951, 62.248975, 25.733322, 2017:09:09 13:11:03
36775444230, 62.248975, 25.733322, 2017:09:09 13:11:05
36336382064, 62.248975, 25.733322, 2017:09:09 13:11:07
36775441400, 62.248975, 25.733322, 2017:09:09 13:11:09
36775439460, 62.248819, 25.733108, 2017:09:09 13:11:33
37173086355, 62.248944, 25.733344, 2017:09:09 13:12:07
37030928931, 62.248944, 25.733344, 2017:09:09 13:12:08
